Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8625565686, 2.40076540149;"{""type"": ""Point"", ""coordinates"": [2.400765401493584, 48.8625565685813]}";59.0;52 RUE STENDHAL- 55/57 RUE DES PRAIRIES;2001;OSICA;3;0;3;0;0;acquisition réhabilitation;;20;logement familial;656037.3632;6862669.445
48.8837120136, 2.35938141118;"{""type"": ""Point"", ""coordinates"": [2.359381411184736, 48.88371201357419]}";61.0;226, RUE DU FAUBOURG SAINT DENIS;2001;ALLIANCE;3;3;0;0;0;acquisition réhabilitation;;10;logement familial;653020.3905;6865045.619
48.853439926, 2.34072366028;"{""type"": ""Point"", ""coordinates"": [2.340723660275478, 48.85343992599487]}";58.0;48, RUE SAINT ANDRE DES ARTS;2001;SIEMP;5;0;5;0;0;acquisition réhabilitation;;6;logement familial;651624.0558;6861690.857
48.8431692488, 2.40393925868;"{""type"": ""Point"", ""coordinates"": [2.403939258680107, 48.84316924883265]}";68.0;18-20 RUE MOUSSET ROBERT;2001;SAGI;14;0;14;0;0;acquisition réhabilitation;;12;logement familial;656253.9347;6860511.978
48.8350601687, 2.39951523251;"{""type"": ""Point"", ""coordinates"": [2.399515232509642, 48.835060168654856]}";51.0;73 RUE DE WATTIGNIES;2001;RIVP;24;0;0;0;24;acquisition conventionnement;;12;logement familial;655922.3961;6859612.789
48.8974339889, 2.33481397142;"{""type"": ""Point"", ""coordinates"": [2.334813971417981, 48.89743398891025]}";49.0;17 RUE ANGELIQUE COMPOINT (DP);2001;SAGI;21;0;0;0;21;construction neuve;;18;logement familial;651231.6389;6866586.324
48.8975151815, 2.33288873356;"{""type"": ""Point"", ""coordinates"": [2.332888733557443, 48.89751518150841]}";50.0;129 BD NEY;2001;RIVP;69;0;0;0;69;acquisition conventionnement;;18;logement familial;651090.569;6866596.543
48.8986090496, 2.35262055764;"{""type"": ""Point"", ""coordinates"": [2.352620557637916, 48.89860904961258]}";465.0;2-42 AVENUE DE LA PORTE DES POISSONNIERS (APHP);2005;SAGI;89;0;0;0;89;construction neuve;;18;logement familial;652538.177;6866706.135
48.8973667798, 2.3258727876;"{""type"": ""Point"", ""coordinates"": [2.325872787603295, 48.8973667798448]}";467.0;27 BOULEVARD BESSIERES;2005;PARIS HAB;45;0;0;0;45;acquisition réhabilitation;;17;résidence pour étudiants;650576.0647;6866584.41
48.8653471234, 2.29205838123;"{""type"": ""Point"", ""coordinates"": [2.292058381228365, 48.86534712340561]}";445.0;24 RUE DE LUBECK;2004;PARIS HAB;22;0;22;0;0;acquisition réhabilitation;;16;logement familial;648065.0899;6863045.743
48.8849063211, 2.38199421609;"{""type"": ""Point"", ""coordinates"": [2.381994216090026, 48.88490632106416]}";457.0;19, PASSAGE DU NORD;2005;SAGI;10;0;0;0;10;acquisition réhabilitation;;19;logement familial;654679.7;6865165.203
48.8697892742, 2.34933543251;"{""type"": ""Point"", ""coordinates"": [2.349335432514299, 48.86978927420395]}";482.0;29 RUE DE LA LUNE;2005;FREHA;2;2;0;0;0;acquisition réhabilitation;;2;logement familial;652270.9306;6863503.528
48.8931155971, 2.34967325974;"{""type"": ""Point"", ""coordinates"": [2.349673259738264, 48.89311559709041]}";495.0;43, RUE DU NORD;2005;SIEMP;2;0;2;0;0;construction neuve;;18;logement familial;652317.0734;6866097.065
48.8355017838, 2.32559874492;"{""type"": ""Point"", ""coordinates"": [2.325598744921063, 48.83550178375776]}";321.0;74-76, RUE DAGUERRE 22-24, RUE DEPARCIEUX (LA BELIERE);2004;RIVP;8;0;8;0;0;construction neuve;;14;logement familial;650497.2211;6859705.692
48.8706641671, 2.34653659249;"{""type"": ""Point"", ""coordinates"": [2.34653659248671, 48.870664167122094]}";341.0;45 RUE DU SENTIER - 9, BD POISSONNIERE;2004;SAGI;22;5;17;0;0;acquisition réhabilitation;;2;logement familial;652066.4333;6863602.505
48.8503206128, 2.39445636033;"{""type"": ""Point"", ""coordinates"": [2.394456360325339, 48.85032061275368]}";315.0;13 BIS,  AVENUE PHILIPPE AUGUSTE;2004;PARIS HAB;22;5;17;0;0;acquisition conventionnement;;11;logement familial;655564.0778;6861312.439
48.8773615005, 2.40621433368;"{""type"": ""Point"", ""coordinates"": [2.406214333683623, 48.87736150052518]}";343.0;3, BD SERURIER 4-6 RUE DU LEMAN;2004;SAGI;8;0;8;0;0;acquisition réhabilitation;;19;logement familial;656449.4941;6864312.633
48.8473358458, 2.37782706427;"{""type"": ""Point"", ""coordinates"": [2.377827064266397, 48.847335845751616]}";329.0;103-103 BIS, RUE DE CHARENTON;2004;PARIS HAB;32;6;26;0;0;construction neuve;;12;logement familial;654341.1989;6860990.047
48.8773615005, 2.40621433368;"{""type"": ""Point"", ""coordinates"": [2.406214333683623, 48.87736150052518]}";344.0;3, BD SERURIER 4-6 RUE DU LEMAN;2004;SAGI;6;0;6;0;0;construction neuve;;19;logement familial;656449.4941;6864312.633
48.8406867268, 2.30249797458;"{""type"": ""Point"", ""coordinates"": [2.302497974576757, 48.84068672681848]}";308.0;21 RUE DU GENERAL BEURET;2004;SIEMP;4;0;4;0;0;acquisition réhabilitation;;15;logement familial;648806.7014;6860296.93
48.8644472416, 2.38933684145;"{""type"": ""Point"", ""coordinates"": [2.389336841451431, 48.86444724159651]}";323.0;39-41 RUE DES AMANDIERS;2004;RIVP;49;0;0;0;49;acquisition conventionnement;;20;logement familial;655200.5533;6862886.097
48.8687743719, 2.35354526018;"{""type"": ""Point"", ""coordinates"": [2.353545260175696, 48.868774371853384]}";346.0;14 BIS-16 RUE BLONDEL;2004;SIEMP;6;0;6;0;0;acquisition réhabilitation;;2;logement familial;652578.8089;6863388.142
48.8481659977, 2.3464872774;"{""type"": ""Point"", ""coordinates"": [2.346487277398157, 48.84816599771484]}";333.0;4, RUE D'ECOSSE;2004;SIEMP;5;0;5;0;0;acquisition réhabilitation;;5;logement familial;652042.1116;6861100.93
48.8293822588, 2.38293296381;"{""type"": ""Point"", ""coordinates"": [2.382932963811117, 48.829382258794965]}";413.0;ZAC PRG LOT M3E1 13-25 RUE FRANCOISE DOLTO;2004;PARIS HAB;76;0;76;0;0;construction neuve;;13;logement familial;654700.2925;6858990.851
48.8950303798, 2.33663877465;"{""type"": ""Point"", ""coordinates"": [2.336638774646775, 48.895030379810464]}";426.0;153 RUE CHAMPIONNET  BAT D1;2004;SADIF;42;4;38;0;0;acquisition réhabilitation;;18;logement familial;651363.1765;6866317.929
48.845179519, 2.39762271029;"{""type"": ""Point"", ""coordinates"": [2.397622710288661, 48.84517951903073]}";442.0;14 A 16 AVENUE DE SAINT MANDE;2004;PARIS HAB;64;0;64;0;0;construction neuve;;12;logement familial;655792.065;6860739.019
48.8695396692, 2.3756110872;"{""type"": ""Point"", ""coordinates"": [2.375611087201117, 48.86953966918877]}";403.0;25, RUE MORAND;2004;LOGIS;29;29;0;0;0;acquisition réhabilitation;;11;résidence sociale pour démuni;654198.1034;6863460.212
48.845179519, 2.39762271029;"{""type"": ""Point"", ""coordinates"": [2.397622710288661, 48.84517951903073]}";443.0;14-16, AVENUE DE SAINT MANDE;2004;PARIS HAB;16;16;0;0;0;construction neuve;;12;logement familial;655792.065;6860739.019
48.8702703604, 2.36223737035;"{""type"": ""Point"", ""coordinates"": [2.362237370352846, 48.87027036042812]}";404.0;44 RUE ALBERT THOMAS;2004;LOG.FR.;15;3;12;0;0;acquisition conventionnement;;10;logement familial;653217.755;6863549.3
48.8672538704, 2.36662483162;"{""type"": ""Point"", ""coordinates"": [2.366624831623934, 48.867253870427675]}";440.0;50 BIS, RUE DE MALTE;2004;LOG.FR.;6;3;3;0;0;acquisition réhabilitation;;11;logement familial;653536.8941;6863211.298
48.877250073, 2.34956072709;"{""type"": ""Point"", ""coordinates"": [2.349560727086741, 48.87725007299395]}";436.0;98 RUE LA FAYETTE;2004;HUMANISME;1;1;0;0;0;acquisition conventionnement;;10;logement familial;652294.2903;6864332.98
48.8714789031, 2.33473548978;"{""type"": ""Point"", ""coordinates"": [2.334735489784927, 48.87147890308843]}";431.0;3 RUE DU HELDER;2004;SEMIDEP;17;4;13;0;0;acquisition réhabilitation;;9;logement familial;651201.5694;6863700.326
48.8339429373, 2.3375719376;"{""type"": ""Point"", ""coordinates"": [2.337571937604237, 48.833942937294495]}";36.0;8-10, RUE JEAN DOLENT  (RS POUR APPRENTIS);2001;ANTIN;64;64;0;0;0;acquisition réhabilitation;;14;foyer pour jeunes travailleurs ou résidence pour jeunes;651374.6092;6859524.926
48.8440234038, 2.38870607594;"{""type"": ""Point"", ""coordinates"": [2.388706075944186, 48.84402340376441]}";32.0;26 ET 25-29, PASSAGE STINVILLE - 29-33 BIS, RUE MONTGALLET;2001;SEMIDEP;45;0;45;0;0;construction neuve;;12;logement familial;655136.6989;6860615.499
48.849788737, 2.380965061;"{""type"": ""Point"", ""coordinates"": [2.380965060998601, 48.84978873698743]}";25.0;1-7 ET 4-10, IMPASSE DRUINOT - 41, RUE DE CITEAUX;2001;SAGI;18;0;18;0;0;acquisition réhabilitation;;12;logement familial;654573.6175;6861260.976
48.884307886, 2.3530234142;"{""type"": ""Point"", ""coordinates"": [2.353023414201089, 48.884307886045576]}";27.0;33-37 RUE DE LA CHARBONNIERE, 94-98 BD DE LA CHAPELLE;2001;PARIS HAB;18;0;18;0;0;construction neuve;;18;logement familial;652554.6816;6865115.678
48.8842110472, 2.35332820483;"{""type"": ""Point"", ""coordinates"": [2.353328204833181, 48.88421104718443]}";28.0;90 BD DE LA CHAPELLE 29 RUE CHARBONNIERE;2001;PARIS HAB;6;0;6;0;0;construction neuve;;18;logement familial;652576.9444;6865104.727
48.8798575187, 2.34946618728;"{""type"": ""Point"", ""coordinates"": [2.349466187277102, 48.879857518728805]}";37.0;147 RUE DU FAUBOURG POISSONNIERE;2001;ALLIANCE;1;1;0;0;0;acquisition réhabilitation;;9;logement familial;652289.7452;6864622.968
48.8816575745, 2.34756032532;"{""type"": ""Point"", ""coordinates"": [2.347560325315606, 48.88165757447831]}";23.0;71, RUE DE DUNKERQUE;2001;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;9;logement familial;652151.626;6864824.276
48.8688047598, 2.36678527006;"{""type"": ""Point"", ""coordinates"": [2.366785270055213, 48.868804759752805]}";48.0;31 QUAI DE VALMY;2001;SAGI;28;0;22;0;6;acquisition conventionnement;;10;logement familial;653550.0462;6863383.651
48.8552197492, 2.38713366272;"{""type"": ""Point"", ""coordinates"": [2.387133662721638, 48.855219749176584]}";6.0;34-36, RUE LEON FROT, 137 BIS, RUE DE CHARONNE, 4, RUE E.LEPEU;2001;ELOGIE;15;0;15;0;0;construction neuve;;11;logement familial;655030.9634;6861861.326
48.8580652206, 2.38798894449;"{""type"": ""Point"", ""coordinates"": [2.387988944489299, 48.858065220599364]}";38.0;4 RUE MONT  LOUIS  2, IMPASSE DE MONT-LOUIS;2001;SIEMP;9;0;9;0;0;acquisition réhabilitation;;11;logement familial;655096.1707;6862177.232
48.8298901296, 2.27551469407;"{""type"": ""Point"", ""coordinates"": [2.275514694074436, 48.82989012958996]}";40.0;AQUABOULEVARD -22-24, RUE DU COLONEL AVIA ( APHP);2001;SAGI;44;0;44;0;0;construction neuve;;15;logement familial;646815.2982;6859114.308
48.8310786021, 2.35759115157;"{""type"": ""Point"", ""coordinates"": [2.357591151569062, 48.831078602126745]}";56.0;205-213 BD VINCENT AURIOL;2001;RIVP;163;0;163;0;0;acquisition conventionnement;;13;résidence pour étudiants;652841.4913;6859194.302
48.8216215986, 2.36084152988;"{""type"": ""Point"", ""coordinates"": [2.360841529884939, 48.82162159856995]}";54.0;13 RUE GANDON;2001;RIVP;103;0;103;0;0;acquisition conventionnement;;13;résidence pour étudiants;653071.5811;6858140.857
48.8904229865, 2.37715533196;"{""type"": ""Point"", ""coordinates"": [2.377155331956421, 48.89042298652131]}";47.0;178 RUE DE CRIMEE;2001;IMM 3F;36;36;0;0;0;acquisition réhabilitation;;19;logement familial;654329.6955;6865781.415
48.8618560551, 2.36761094081;"{""type"": ""Point"", ""coordinates"": [2.367610940814506, 48.86185605510945]}";39.0;96, RUE AMELOT;2001;LOG.FR.;18;0;18;0;0;acquisition conventionnement;;11;logement familial;653604.4246;6862610.523
48.856357811, 2.38596161161;"{""type"": ""Point"", ""coordinates"": [2.385961611610742, 48.856357810988236]}";587.0;56-58, RUE LEON FROT 3, RUE CARRIERE MAINGUET;2005;SEMIDEP;15;0;15;0;0;acquisition réhabilitation;"opération abandonnée; réagréée";11;logement familial;654945.95;6861988.537
48.8805121126, 2.3705347942;"{""type"": ""Point"", ""coordinates"": [2.370534794203822, 48.880512112640815]}";589.0;164-168, BD DE LA VILLETTE ET 8-14 CITE LEPAGE;2005;SIEMP;30;0;0;0;30;construction neuve;;19;logement familial;653835.4672;6864683.231
48.8959656274, 2.34262232067;"{""type"": ""Point"", ""coordinates"": [2.342622320666308, 48.89596562742612]}";588.0;5BIS ET 7 PASSAGE PENEL  92-94 RUE CHAMPIONNET;2005;SIEMP;9;0;9;0;0;construction neuve;;18;logement familial;651802.7383;6866418.255
48.8546250531, 2.40320345144;"{""type"": ""Point"", ""coordinates"": [2.403203451435154, 48.854625053067394]}";580.0;74, RUE DES HAIES;2005;PARIS HAB;17;0;0;0;17;acquisition réhabilitation;;20;résidence pour étudiants;656209.5608;6861786.169
48.83494312, 2.28860516599;"{""type"": ""Point"", ""coordinates"": [2.288605165989416, 48.83494312004737]}";585.0;16-26, RUE DU HAMEAU;2005;PARIS HAB;176;18;87;0;71;acquisition conventionnement;;15;logement familial;647781.3096;6859667.403
48.8930246805, 2.35014792804;"{""type"": ""Point"", ""coordinates"": [2.350147928037335, 48.893024680462396]}";608.0;31-37 ET 36 RUE DU NORD;2006;SIEMP;10;0;10;0;0;acquisition réhabilitation;;18;logement familial;652351.7928;6866086.669
48.8879151714, 2.35442034284;"{""type"": ""Point"", ""coordinates"": [2.354420342841026, 48.88791517137368]}";607.0;24 A 28, RUE LAGHOUAT;2006;BATIGERE;38;0;38;0;0;construction neuve;;18;résidence pour étudiants;652660.401;6865515.949
48.8457394761, 2.40387824189;"{""type"": ""Point"", ""coordinates"": [2.403878241888092, 48.84573947611731]}";620.0;3- 5-7 CITE DEBERGUE;2006;ELOGIE;13;0;13;0;0;acquisition réhabilitation;;12;logement familial;656251.6142;6860797.797
48.8718787722, 2.35832808311;"{""type"": ""Point"", ""coordinates"": [2.358328083108771, 48.871878772177034]}";601.0;2-8, RUE HITTORF;2005;SIEMP;11;11;0;0;0;acquisition réhabilitation;;10;logement familial;652932.454;6863730.467
48.8706722924, 2.38067555973;"{""type"": ""Point"", ""coordinates"": [2.380675559732661, 48.870672292405956]}";592.0;21, RUE BISSON;2005;RIVP;10;0;0;0;10;construction neuve;;20;logement familial;654570.5867;6863583.226
48.8329630244, 2.33555115464;"{""type"": ""Point"", ""coordinates"": [2.335551154635752, 48.83296302443622]}";565.0;61 BOULEVARD SAINT JACQUES;2005;PARIS HAB;124;0;124;0;0;acquisition réhabilitation;"opération abandonnée; réagréée";14;résidence pour étudiants;651225.3607;6859417.217
48.8661325446, 2.38439005828;"{""type"": ""Point"", ""coordinates"": [2.384390058280244, 48.86613254464973]}";569.0;2-4, RUE DES PANOYAUX -124 A 130, BD DE MENILMONTANT;2005;SIEMP;18;0;18;0;0;construction neuve;;20;résidence pour étudiants;654839.1159;6863076.308
48.8724060106, 2.36652236415;"{""type"": ""Point"", ""coordinates"": [2.366522364148191, 48.872406010589145]}";579.0;16, AVENUE RICHERAND 47 BIS RUE BICHAT;2005;SIEMP;17;8;9;0;0;acquisition réhabilitation;;10;logement familial;653533.9735;6863784.239
48.8297664086, 2.30166376705;"{""type"": ""Point"", ""coordinates"": [2.301663767051371, 48.829766408627506]}";573.0;108, RUE BRANCION;2005;SEMIDEP;11;4;7;0;0;acquisition réhabilitation;;15;logement familial;648734.7375;6859083.257
48.889999267, 2.33783281671;"{""type"": ""Point"", ""coordinates"": [2.33783281670892, 48.88999926702302]}";578.0;63, RUE LAMARCK;2005;SEMIDEP;13;6;7;0;0;acquisition réhabilitation;;18;logement familial;651446.0287;6865757.761
48.863913714, 2.38768712158;"{""type"": ""Point"", ""coordinates"": [2.387687121576689, 48.86391371395944]}";571.0;11-13, RUE HOUDART;2005;PARIS HAB;19;4;10;0;5;construction neuve;;20;logement familial;655079.069;6862827.71
48.8685473192, 2.40653750373;"{""type"": ""Point"", ""coordinates"": [2.406537503730634, 48.868547319197496]}";568.0;34-36, RUE ALPHONSE PENAUD;2005;RIVP;4;0;0;0;4;construction neuve;;20;logement familial;656465.83;6863332.375
48.837016928, 2.2837906737;"{""type"": ""Point"", ""coordinates"": [2.283790673696315, 48.837016928016]}";555.0;346 RUE LECOURBE;2005;BATIGERE;5;5;0;0;0;acquisition réhabilitation;;15;logement familial;647430.0114;6859901.181
48.8904062161, 2.35371957383;"{""type"": ""Point"", ""coordinates"": [2.353719573825963, 48.89040621612965]}";552.0;14 RUE MARCADET;2005;SIEMP;10;0;10;0;0;acquisition réhabilitation;;18;logement familial;652611.2827;6865793.36
48.875184983, 2.34309154586;"{""type"": ""Point"", ""coordinates"": [2.343091545862453, 48.87518498299187]}";574.0;11, RUE CADET;2005;RIVP;17;0;17;0;0;acquisition réhabilitation;;9;logement familial;651817.9163;6864107.284
48.8259708111, 2.37380861492;"{""type"": ""Point"", ""coordinates"": [2.373808614924362, 48.82597081108867]}";646.0;57 A 69 RUE DE PATAY - 1 A 7 RUE TROLLEY DE PREVAUX (LOT H2);2006;PARIS HAB;20;0;20;0;0;construction neuve;;13;foyer pour personnes handicapées;654027.4678;6858616.81
48.8265317801, 2.35982580089;"{""type"": ""Point"", ""coordinates"": [2.359825800894304, 48.82653178010161]}";628.0;120-126, AVENUE DE CHOISY 18-20, RUE DU DOCTEUR MAGNAN;2006;RIVP;32;0;0;0;32;acquisition réhabilitation;;13;résidence pour étudiants;653001.432;6858687.415
48.8265317801, 2.35982580089;"{""type"": ""Point"", ""coordinates"": [2.359825800894304, 48.82653178010161]}";627.0;120-126, AVENUE DE CHOISY 18-20, RUE DU DOCTEUR MAGNAN;2006;RIVP;24;0;13;0;11;acquisition réhabilitation;;13;logement familial;653001.432;6858687.415
48.8819785746, 2.3354916085;"{""type"": ""Point"", ""coordinates"": [2.335491608500964, 48.881978574574646]}";631.0;15, RUE DUPERRE;2006;RIVP;27;0;27;0;0;acquisition réhabilitation;;9;foyer pour jeunes travailleurs ou résidence pour jeunes;651266.8561;6864867.35
48.831251449, 2.35390401984;"{""type"": ""Point"", ""coordinates"": [2.353904019842765, 48.83125144897985]}";639.0;4-6, BD BLANQUI 25-29 RUE ABEL HOVELACQUE;2006;SABLIERE;102;0;0;0;102;acquisition conventionnement;;13;logement familial;652570.9864;6859215.729
48.8899664608, 2.36396250335;"{""type"": ""Point"", ""coordinates"": [2.363962503348861, 48.8899664608358]}";659.0;72BIS RUE RIQUET 2 RUE BUZELIN;2006;SIEMP;3;0;3;0;0;construction neuve;;18;logement familial;653361.9385;6865738.363
48.8730283687, 2.38211558899;"{""type"": ""Point"", ""coordinates"": [2.382115588992275, 48.87302836874692]}";662.0;82, RUE JULIEN LACROIX;2006;SIEMP;8;8;0;0;0;acquisition réhabilitation;;20;maison relais;654678.2653;6863844.378
48.8587926211, 2.36931199084;"{""type"": ""Point"", ""coordinates"": [2.369311990835438, 48.85879262107482]}";696.0;3 IMPASSE DES PRIMEVERES;2006;SIEMP;3;3;0;0;0;construction neuve;;11;logement familial;653726.4997;6862268.896
48.8934423917, 2.37702583792;"{""type"": ""Point"", ""coordinates"": [2.377025837915279, 48.893442391653466]}";625.0;68, RUE DE L'OURCQ;2006;FONCIERE;56;0;0;0;56;construction neuve;;19;logement familial;654322.8494;6866117.233
48.836051523, 2.29791695599;"{""type"": ""Point"", ""coordinates"": [2.297916955994305, 48.836051523043686]}";648.0;25, RUE DOMBASLE;2006;LOGIREP;7;0;0;0;7;construction neuve;;15;logement familial;648465.9029;6859784.527
48.8288021374, 2.38155042011;"{""type"": ""Point"", ""coordinates"": [2.381550420109472, 48.82880213742169]}";546.0;ZAC PRG LOT M3E2  13-25, RUE FRANCOISE DOLTO -  7-11, RUE ELSA MORANTE;2005;PARIS HAB;64;0;0;0;64;construction neuve;;13;logement familial;654598.295;6858927.142
48.8697353739, 2.38889266149;"{""type"": ""Point"", ""coordinates"": [2.388892661488167, 48.86973537392268]}";509.0;18-18 BIS RUE DE LA MARE ET 23 RUE HENRI CHEVREAU;2005;SIEMP;10;0;0;0;10;acquisition réhabilitation;;20;logement familial;655172.5188;6863474.351
48.8970235801, 2.35290016885;"{""type"": ""Point"", ""coordinates"": [2.352900168853738, 48.89702358014096]}";517.0;144, RUE DES POISSONNIERS;2005;SAGI;71;71;0;0;0;construction neuve;;18;foyer pour jeunes travailleurs ou résidence pour jeunes;652557.2311;6866529.67
48.8409913615, 2.37388278157;"{""type"": ""Point"", ""coordinates"": [2.373882781569925, 48.840991361526946]}";522.0;1-19 RUE VILLIOT, 30-40 QUAI DE LA RAPEE LOT 5;2005;PARIS HAB;42;0;42;0;0;construction neuve;;12;logement familial;654046.1559;6860286.89
48.8482572567, 2.37858555277;"{""type"": ""Point"", ""coordinates"": [2.378585552774046, 48.848257256677044]}";524.0;23 RUE BECCARIA  12 PLACE D'ALIGRE;2005;ESPACILHAB;23;0;0;0;23;acquisition réhabilitation;;12;résidence pour étudiants;654397.6665;6861092.061
48.8697353739, 2.38889266149;"{""type"": ""Point"", ""coordinates"": [2.388892661488167, 48.86973537392268]}";508.0;18-18 BIS RUE DE LA MARE ET 23 RUE HENRI CHEVREAU;2005;SIEMP;4;0;0;0;4;construction neuve;;20;logement familial;655172.5188;6863474.351
48.8862831811, 2.32464820749;"{""type"": ""Point"", ""coordinates"": [2.324648207491222, 48.88628318105941]}";526.0;14-16 RUE HELENE;2005;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;17;logement familial;650475.7452;6865352.742
48.8766736837, 2.35400581432;"{""type"": ""Point"", ""coordinates"": [2.354005814318306, 48.8766736837306]}";510.0;23-25, RUE DE CHABROL;2005;SIEMP;5;0;5;0;0;acquisition réhabilitation;;10;logement familial;652619.7784;6864266.213
48.8901613767, 2.36260883126;"{""type"": ""Point"", ""coordinates"": [2.362608831260169, 48.89016137669016]}";507.0;4, RUE DU CANADA;2005;SIEMP;6;0;0;0;6;acquisition réhabilitation;;18;logement familial;653262.8563;6865760.837
48.8976282242, 2.34721896149;"{""type"": ""Point"", ""coordinates"": [2.347218961487131, 48.89762822423587]}";538.0;136, RUE DU MONT CENIS;2005;SIEMP;3;0;3;0;0;construction neuve;;18;logement familial;652141.273;6866600.332
48.8574901116, 2.40162039318;"{""type"": ""Point"", ""coordinates"": [2.401620393184976, 48.85749011155568]}";973.0;FREQUEL FONTARABIE  LOT 6B  24 FONTARABIE;2007;PARIS HAB;5;0;5;0;0;construction neuve;;20;logement familial;656095.819;6862105.619
48.8944466599, 2.3354016925;"{""type"": ""Point"", ""coordinates"": [2.33540169250013, 48.89444665989242]}";967.0;8, RUE DESIRE RUGGIERI;2007;SAGECO;19;6;13;0;0;acquisition conventionnement;;18;logement familial;651271.931;6866253.785
48.8499948725, 2.39362101692;"{""type"": ""Point"", ""coordinates"": [2.393621016919905, 48.84999487252233]}";963.0;263, BD VOLTAIRE;2007;PARIS HAB;28;8;12;0;8;acquisition conventionnement;;11;logement familial;655502.5018;6861276.69
48.8897969631, 2.35523149851;"{""type"": ""Point"", ""coordinates"": [2.355231498507546, 48.88979696314532]}";941.0;20-30, RUE EMILE DUPLOYE;2007;PARIS HAB;8;8;0;0;0;construction neuve;;18;logement familial;652721.5894;6865724.708
48.8955869266, 2.34708599934;"{""type"": ""Point"", ""coordinates"": [2.347085999344045, 48.895586926589345]}";948.0;8-10, PASSAGE CHAMPIONNET;2007;SIEMP;8;0;8;0;0;construction neuve;;18;logement familial;652129.6482;6866373.43
48.8800047774, 2.29173937422;"{""type"": ""Point"", ""coordinates"": [2.29173937421959, 48.880004777379014]}";946.0;7-9, RUE PIERRE DEMOURS;2007;RIVP;12;0;12;0;0;construction neuve;;17;logement familial;648056.3072;6864675.769
48.8390541871, 2.402599846;"{""type"": ""Point"", ""coordinates"": [2.402599845997236, 48.83905418712061]}";125.0;20-22, RUE DE TOUL;2002;ELOGIE;42;14;28;0;0;acquisition conventionnement;;12;logement familial;656152.1727;6860055.166
48.8658019771, 2.36061438402;"{""type"": ""Point"", ""coordinates"": [2.360614384023789, 48.86580197712571]}";119.0;191, RUE DU TEMPLE;2002;LOG.FR.;16;5;11;0;0;acquisition conventionnement;;3;logement familial;653094.6823;6863053.412
48.8393110833, 2.26404850564;"{""type"": ""Point"", ""coordinates"": [2.264048505642918, 48.83931108329169]}";151.0;5, RUE DAUMIER;2002;SNL-PROLOG;1;1;0;0;0;acquisition conventionnement;;16;logement familial;645983.349;6860169.589
48.8946359699, 2.32878628686;"{""type"": ""Point"", ""coordinates"": [2.328786286857938, 48.894635969859564]}";147.0;10, RUE LAGILLE;2002;ALLIANCE;24;24;0;0;0;acquisition réhabilitation;;18;logement familial;650787.0828;6866278.938
48.8652802103, 2.36721646928;"{""type"": ""Point"", ""coordinates"": [2.367216469281388, 48.86528021030562]}";139.0;18, BD VOLTAIRE;2002;RIVP;37;0;23;0;14;acquisition conventionnement;;11;logement familial;653578.5358;6862991.494
48.8724794266, 2.34416965428;"{""type"": ""Point"", ""coordinates"": [2.34416965428369, 48.872479426572696]}";43.0;29 RUE BERGERE;2001;IMM 3F;18;18;0;0;0;acquisition réhabilitation;;9;logement familial;651894.4915;6863805.788
48.8850834669, 2.3811647981;"{""type"": ""Point"", ""coordinates"": [2.381164798096489, 48.885083466930226]}";112.0;5 RUE DU RHIN;2002;SAGI;11;0;11;0;0;acquisition réhabilitation;;19;logement familial;654619.0318;6865185.377
48.8738218272, 2.31761034624;"{""type"": ""Point"", ""coordinates"": [2.317610346237278, 48.8738218272264]}";85.0;29 RUE CAMBACERES;2001;SAGI;14;0;14;0;0;acquisition conventionnement;;8;logement familial;649947.6895;6863971.561
48.8745936829, 2.33057802226;"{""type"": ""Point"", ""coordinates"": [2.330578022263538, 48.874593682882775]}";145.0;25, RUE JOUBERT;2002;PARIS HAB;11;0;11;0;0;construction neuve;;9;logement familial;650899.5547;6864049.244
48.8741254924, 2.36362897266;"{""type"": ""Point"", ""coordinates"": [2.363628972656736, 48.874125492423815]}";243.0;108-110 QUAI DE JEMMAPES, 54 RUE BICHAT,11 RUE DE L'HOPITAL ST LOUIS;2003;FONCIERE;9;0;0;0;9;construction neuve;;10;logement familial;653323.2867;6863977.14
48.8362033117, 2.31188618939;"{""type"": ""Point"", ""coordinates"": [2.311886189387952, 48.836203311692415]}";160.0;ZAC VAUGIRARD  LOT B1 RUE DE LA PROCESSION  21, RUE ANDRE GIDE;2002;PARIS HAB;55;0;55;0;0;construction neuve;;15;logement familial;649491.3894;6859792.378
48.8924073394, 2.30377856839;"{""type"": ""Point"", ""coordinates"": [2.303778568389987, 48.89240733935894]}";234.0;PORTE D'ASNIERES LOT B1 - B2 -7 RUE STEPHANE GRAPPELLI;2003;PARIS HAB;33;0;0;0;33;construction neuve;;17;logement familial;648951.3961;6866047.003
