Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8208247513, 2.36434124841;"{""type"": ""Point"", ""coordinates"": [2.364341248408157, 48.82082475130645]}";2059.0;8-10, AVENUE DE CHOISY (TOUR RIMINI);2012;COOP.FAM.;1;0;1;0;0;acquisition conventionnement;;13;logement familial;653327.8193;6858050.183
48.8663738587, 2.39662925961;"{""type"": ""Point"", ""coordinates"": [2.396629259607695, 48.86637385865821]}";2060.0;42-44 RUE ORFILA;2012;DOMAXIS;14;2;5;0;7;construction neuve;;20;logement familial;655737.1659;6863096.21
48.848140576, 2.40405588536;"{""type"": ""Point"", ""coordinates"": [2.404055885362777, 48.848140575958446]}";2062.0;1, RUE LUCIEN ET SACHA GUITRY;2012;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656266.6659;6861064.679
48.879631094, 2.36519890389;"{""type"": ""Point"", ""coordinates"": [2.365198903888278, 48.87963109402074]}";2066.0;17 RUE PIERRE DUPONT;2012;ELOGIE;35;5;15;0;15;acquisition réhabilitation;;10;logement familial;653443.3576;6864588.4
48.8695640093, 2.40447140525;"{""type"": ""Point"", ""coordinates"": [2.404471405248084, 48.869564009255726]}";2068.0;19, RUE DU GROUPE MANOUCHIAN;2012;ELOGIE;6;2;4;0;0;construction neuve;;20;logement familial;656315.1243;6863446.565
48.8521968596, 2.39006897155;"{""type"": ""Point"", ""coordinates"": [2.390068971551972, 48.852196859574214]}";2069.0;2, RUE VOLTAIRE;2012;ELOGIE;16;3;10;0;3;acquisition conventionnement;;11;logement familial;655243.7409;6861523.539
48.8912121099, 2.33881664865;"{""type"": ""Point"", ""coordinates"": [2.338816648653139, 48.89121210990941]}";2070.0;25, RUE DUHESME 149 RUE MARCADET;2012;ELOGIE;8;2;6;0;0;construction neuve;;18;logement familial;651519.2966;6865892.018
48.8545412874, 2.39857093243;"{""type"": ""Point"", ""coordinates"": [2.398570932426571, 48.85454128737741]}";2072.0;32 RUE DE TERRE NEUVE;2012;ELOGIE;4;0;4;0;0;construction neuve;;20;logement familial;655869.5815;6861779.434
48.8404794681, 2.38971521003;"{""type"": ""Point"", ""coordinates"": [2.38971521003378, 48.84047946811724]}";2083.0;9, RUE ELISA LEMONNIER;2012;ELOGIE;9;3;4;0;2;construction neuve;;12;logement familial;655207.7129;6860220.875
48.8405176456, 2.25601110202;"{""type"": ""Point"", ""coordinates"": [2.256011102018353, 48.8405176456243]}";2084.0;90, BD MURAT;2012;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645394.7089;6860309.273
48.8471109702, 2.32208166336;"{""type"": ""Point"", ""coordinates"": [2.322081663360346, 48.8471109701688]}";2085.0;91 BIS, RUE DU CHERCHE MIDI;2012;ELOGIE;11;2;6;0;3;construction neuve;;6;logement familial;650250.147;6860998.721
48.875499047, 2.30429326861;"{""type"": ""Point"", ""coordinates"": [2.304293268611342, 48.87549904695991]}";2086.0;BEAUJON RIVE EST, 208-210 RUE DU FAUBOURG SAINT HONORE  LOT 5A;2012;ELOGIE;31;7;17;0;7;construction neuve;;8;logement familial;648972.569;6864166.579
48.8893079891, 2.31461161248;"{""type"": ""Point"", ""coordinates"": [2.314611612484695, 48.8893079890985]}";2087.0;ZAC CLICHY BATIGNOLLES LOT O2;2012;ELOGIE;48;10;24;0;14;construction neuve;;17;logement familial;649742.689;6865695.424
48.8842821577, 2.28687027465;"{""type"": ""Point"", ""coordinates"": [2.286870274649881, 48.884282157749716]}";2116.0;2 ET 4 SQUARE DU VIVARAIS 23 BD DE L'YSER;2012;PARIS HAB;3;0;3;0;0;acquisition réhabilitation;;17;logement familial;647703.5136;6865154.598
48.8484042281, 2.36520594011;"{""type"": ""Point"", ""coordinates"": [2.365205940114827, 48.84840422806074]}";2118.0;2, RUE CRILLON;2012;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;4;logement familial;653415.9595;6861116.213
48.8555817808, 2.36826989711;"{""type"": ""Point"", ""coordinates"": [2.368269897110559, 48.85558178079747]}";2124.0;27, BD BEAUMARCHAIS;2012;PARIS HAB;3;0;3;0;0;construction neuve;;4;logement familial;653647.1867;6861912.489
48.8375089744, 2.26314342209;"{""type"": ""Point"", ""coordinates"": [2.263143422094716, 48.837508974360496]}";2125.0;3 RUE DU GENERAL GROSSETTI;2012;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645915.0506;6859969.835
48.8370970308, 2.30540457488;"{""type"": ""Point"", ""coordinates"": [2.305404574876187, 48.837097030827024]}";2128.0;32, RUE DES FAVORITES;2012;PARIS HAB;1;1;0;0;0;construction neuve;;15;logement familial;649016.5153;6859895.915
48.8930157122, 2.35983984515;"{""type"": ""Point"", ""coordinates"": [2.35983984515317, 48.89301571215678]}";2132.0;40, RUE DE LA CHAPELLE;2012;PARIS HAB;8;2;4;0;2;acquisition réhabilitation;;18;logement familial;653062.3961;6866079.867
48.8943845966, 2.34595349456;"{""type"": ""Point"", ""coordinates"": [2.345953494564656, 48.894384596590925]}";2134.0;47, RUE HERMEL;2012;PARIS HAB;15;3;6;0;6;construction neuve;;18;logement familial;652045.5097;6866240.424
48.8498716557, 2.40365814257;"{""type"": ""Point"", ""coordinates"": [2.403658142569946, 48.84987165574787]}";2146.0;7 ALLEE MARIE LAURENT;2012;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656238.9318;6861257.38
48.832566787, 2.33578411344;"{""type"": ""Point"", ""coordinates"": [2.335784113439209, 48.83256678698744]}";2150.0;9 RUE DE LA TOMBE ISSOIRE;2012;PARIS HAB;8;0;8;0;0;construction neuve;;14;résidence pour étudiants;651242.0903;6859373.016
48.8473267106, 2.34754746289;"{""type"": ""Point"", ""coordinates"": [2.34754746289268, 48.847326710557134]}";2167.0;10, RUE LAPLACE;2012;RIVP;12;2;8;0;2;acquisition réhabilitation;;5;logement familial;652119.1402;6861006.966
48.8739770902, 2.34649399775;"{""type"": ""Point"", ""coordinates"": [2.346493997750417, 48.87397709021722]}";2177.0;13, RUE RICHER;2012;RIVP;3;0;3;0;0;construction neuve;;9;logement familial;652066.3577;6863970.904
48.8867327127, 2.38588289326;"{""type"": ""Point"", ""coordinates"": [2.385882893262525, 48.88673271271748]}";2179.0;138, AVENUE JEAN JAURES;2012;RIVP;131;0;131;0;0;construction neuve;;19;résidence pour étudiants;654966.4426;6865366.063
48.8315907315, 2.36061904139;"{""type"": ""Point"", ""coordinates"": [2.360619041393181, 48.83159073149812]}";2180.0;147 À 171 BD VINCENT AURIOL 202-210 RUE DU CHATEAU DES RENTIERS;2012;RIVP;375;0;0;0;375;acquisition conventionnement;;13;logement familial;653064.2215;6859249.441
